PROGRAMA;CURSO;DISCIPLINA;AACSB;EQUIS;AMBA;ABET
PGLS;MBA EXECUTIVO;MBAEX_202531_003 - COMPORTAMENTO ORGANIZACIONAL;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAEX_201233_019 - HABILIDADES DE LIDERANÇA;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_016 - PROJETO APLICADO IV;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_015 - PROJETO APLICADO III;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_014 - PROJETO APLICADO II;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAEX_201233_019 - HABILIDADES DE LIDERANÇA;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_016 - PROJETO APLICADO IV;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_015 - PROJETO APLICADO III;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_014 - PROJETO APLICADO II;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_013 - PROJETO APLICADO I;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAEX_202531_002 - GESTÃO ESTRATÉGICA DE PESSOAS   ;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_014 - PROJETO APLICADO II;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_013 - PROJETO APLICADO I;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAEX_202531_002 - GESTÃO ESTRATÉGICA DE PESSOAS   ;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAEX_201233_019 - HABILIDADES DE LIDERANÇA;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_016 - PROJETO APLICADO IV;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_015 - PROJETO APLICADO III;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAEX_201233_019 - HABILIDADES DE LIDERANÇA;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_016 - PROJETO APLICADO IV;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_015 - PROJETO APLICADO III;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_014 - PROJETO APLICADO II;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_013 - PROJETO APLICADO I;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAEX_202531_002 - GESTÃO ESTRATÉGICA DE PESSOAS   ;SIM;SIM;SIM;NÃO
PGLS;MASTER IN BUSINESS MANAGEMENT - ESPECIALIZAÇÃO EM LEADERSHIP IN TEAMS;MBMTM_202532_001 - LEADING AGILE TEAMS I;SIM;SIM;NÃO;NÃO
PGLS;MASTER IN BUSINESS MANAGEMENT - ESPECIALIZAÇÃO EM PROJECT MANAGEMENT;MBMPM_202532_001 - VALUE PROPOSITION: PREPARING FOR CHANGE ;SIM;SIM;NÃO;NÃO
PGLS;MASTER IN BUSINESS MANAGEMENT - ESPECIALIZAÇÃO EM PROJECT MANAGEMENT;MBMPM_202532_001 - VALUE PROPOSITION: PREPARING FOR CHANGE ;SIM;SIM;NÃO;NÃO
PGLS;MASTER IN BUSINESS MANAGEMENT - ESPECIALIZAÇÃO EM PROJECT MANAGEMENT;MBMPM_202532_001 - VALUE PROPOSITION: PREPARING FOR CHANGE ;SIM;SIM;NÃO;NÃO
PGLS;MASTER IN BUSINESS MANAGEMENT - ESPECIALIZAÇÃO EM PROJECT MANAGEMENT;MBMPM_202532_001 - VALUE PROPOSITION: PREPARING FOR CHANGE ;SIM;SIM;NÃO;NÃO
PGLS;PROGRAMA AVANÇADO EM TRANSFORMAÇÃO DIGITAL: GESTÃO, OPERAÇÕES E TECNOLOGIA;PATD_202233_015 - GOVERNANÇA DIGITAL;NÃO;NÃO;NÃO;NÃO
